,id,Name,Year,Rating,tags
0,0,Citizen Kane,1941,8.3,"orson well orson well joseph cotten dorothi comingor agn moorehead drama, mysteri follow the death of publish tycoon charl foster kane, report scrambl to uncov the mean of hi final utterance: 'rosebud.'"
1,1,The Passion of Joan of Arc,1928,8.1,"carl theodor dreyer maria falconetti eugen silvain andré berley mauric schutz biography, drama, histori in 1431, jeann d'arc is place on trial on charg of heresy. the ecclesiast jurist attempt to forc jeann to recant her claim of holi visions."
2,2,City Lights,1931,8.5,"charl chaplin charl chaplin virginia cherril florenc lee harri myer comedy, drama, romanc with the aid of a wealthi errat tippler, a dewy-ey tramp who ha fallen in love with a sightless flower girl accumul money to be abl to help her medically."
3,3,Metropolis,1927,8.3,"fritz lang brigitt helm alfr abel gustav fröhlich rudolf klein-rogg drama, sci-fi in a futurist citi sharpli divid between the work class and the citi planners, the son of the city' mastermind fall in love with a working-class prophet who predict the come of a savior to mediat their differences."
4,4,Man with a Movie Camera,1929,8.3,"dziga vertov mikhail kaufman elizaveta svilova documentari a man travel around a citi with a camera slung over hi shoulder, document urban life with dazzl invention."
5,5,Sunrise,1927,8.1,"f.w. murnau georg o'brien janet gaynor margaret livingston bodil rose drama, romanc a sophist citi woman seduc a farmer and convinc him to murder hi wife and join her in the city, but he end up rekindl hi romanc with hi wife when he chang hi mind at the last moment."
6,6,Casablanca,1942,8.5,"michael curtiz humphrey bogart ingrid bergman paul henreid claud rain drama, romance, war a cynic expatri american cafe owner struggl to decid whether or not to help hi former lover and her fugit husband escap the nazi in french morocco."
7,7,Seven Samurai,1954,8.6,"akira kurosawa toshirô mifun takashi shimura keiko tsushima yukiko shimazaki action, drama farmer from a villag exploit by bandit hire a veteran samurai for protection, who gather six other samurai to join him."
8,8,The Godfather,1972,9.2,"franci ford coppola marlon brando al pacino jame caan dian keaton crime, drama the age patriarch of an organ crime dynasti transfer control of hi clandestin empir to hi reluct son."
9,9,12 Angry Men,1957,9,"sidney lumet henri fonda lee j. cobb martin balsam john fiedler crime, drama the juri in a new york citi murder trial is frustrat by a singl member whose skeptic caution forc them to more care consid the evid befor jump to a hasti verdict."
10,10,Vertigo,1958,8.3,"alfr hitchcock jame stewart kim novak barbara bel gedd tom helmor mystery, romance, thriller a former san francisco polic detect juggl wrestl with hi person demon and becom obsess with the hauntingli beauti woman he ha been hire to trail, who may be deepli disturbed."
11,11,Battleship Potemkin,1925,7.9,"sergei eisenstein aleksandr antonov vladimir barskiy grigoriy aleksandrov ivan bobrov drama, history, thriller in the midst of the russian revolut of 1905, the crew of the battleship potemkin mutini against the brutal, tyrann regim of the vessel' officers. the result street demonstr in odessa bring on a polic massacre."
12,12,Modern Times,1936,8.5,"charl chaplin charl chaplin paulett goddard henri bergman tini sandford comedy, drama, romanc the tramp struggl to live in modern industri societi with the help of a young homeless woman."
13,13,Tokyo Story,1953,8.1,"yasujirô ozu chishû ryû chieko higashiyama sô yamamura setsuko hara drama an old coupl visit their children and grandchildren in the city, but receiv littl attention."
14,14,Rear Window,1954,8.5,"alfr hitchcock jame stewart grace kelli wendel corey thelma ritter mystery, thriller a photograph in a wheelchair spi on hi neighbor from hi greenwich villag courtyard apart window, and becom convinc one of them ha commit murder, despit the skeptic of hi fashion-model girlfriend."
15,15,Singin' in the Rain,1952,8.3,"stanley donen gene kelli gene kelli donald o'connor debbi reynold jean hagen comedy, musical, romanc a silent film star fall for a choru girl just as he and hi delusion jealou screen partner are tri to make the difficult transit to talk pictur in 1920 hollywood."
16,16,The Rules of the Game,1939,7.9,"jean renoir marcel dalio nora gregor paulett dubost mila paréli comedy, drama a bourgeoi life in franc at the onset of world war ii, as the rich and their poor servant meet up at a french chateau."
17,17,Psycho,1960,8.5,"alfr hitchcock anthoni perkin janet leigh vera mile john gavin horror, mystery, thriller a phoenix secretari embezzl $40,000 from her employer' client, goe on the run and check into a remot motel run by a young man under the domin of hi mother."
18,18,It's a Wonderful Life,1946,8.6,"frank capra jame stewart donna reed lionel barrymor thoma mitchel drama, family, fantasi an angel is sent from heaven to help a desper frustrat businessman by show him what life would have been like if he had never existed."
19,19,Sunset Blvd.,1950,8.4,"billi wilder william holden gloria swanson erich von stroheim nanci olson drama, film-noir a screenwrit develop a danger relationship with a fade film star determin to make a triumphant return."
20,20,Rashomon,1950,8.2,"akira kurosawa toshirô mifun machiko kyô masayuki mori takashi shimura crime, drama, mysteri the rape of a bride and the murder of her samurai husband are recal from the perspect of a bandit, the bride, the samurai' ghost and a woodcutter."
21,21,Lawrence of Arabia,1962,8.3,"david lean peter o'tool alec guin anthoni quinn jack hawkin adventure, biography, drama the stori of <a href=""/name/nm0493042"">t.e. lawrence</a>, the english offic who success unit and led the diverse, often warring, arab tribe dure world war i in order to fight the turks."
22,22,Double Indemnity,1944,8.3,"billi wilder fred macmurray barbara stanwyck edward g. robinson byron barr crime, drama, film-noir a lo angel insur repres let an allur housewif seduc him into a scheme of insur fraud and murder that arous the suspicion of hi colleague, an insur investigator."
23,23,The Godfather Part II,1974,9,"franci ford coppola al pacino robert de niro robert duval dian keaton crime, drama the earli life and career of vito corleon in 1920 new york citi is portrayed, while hi son, michael, expand and tighten hi grip on the famili crime syndicate."
24,24,The Third Man,1949,8.1,"carol reed orson well joseph cotten alida valli trevor howard film-noir, mystery, thriller pulp novelist holli martin travel to shadowy, postwar vienna, onli to find himself investig the mysteri death of an old friend, harri lime."
25,25,All About Eve,1950,8.2,joseph l. mankiewicz bett davi ann baxter georg sander celest holm drama a seemingli timid but secretli ruthless ingénu insinu herself into the live of an age broadway star and her circl of theater friends.
26,26,The Apartment,1960,8.3,"billi wilder jack lemmon shirley maclain fred macmurray ray walston comedy, drama, romanc a manhattan insur clerk tri to rise in hi compani by let it execut use hi apart for trysts, but complic and a romanc of hi own ensue."
27,27,Children of Paradise,1945,8.3,"marcel carné arletti jean-loui barrault pierr brasseur pierr renoir drama, romanc the theatric life of a beauti courtesan in 1830 pari and the four men who love her."
28,28,The Wizard of Oz,1939,8.1,"victor fleme king vidor judi garland frank morgan ray bolger bert lahr adventure, family, fantasi young dorothi gale and her dog toto are swept away by a tornado from their kansa farm to the magic land of oz, and embark on a quest with three new friend to see the wizard, who can return her to her home and fulfil the others' wishes."
29,29,Gone with the Wind,1939,8.2,"victor fleme georg cukor sam wood clark gabl vivien leigh thoma mitchel barbara o'neil drama, romance, war a shelter and manipul southern bell and a roguish profit face off in a turbul romanc as the societi around them crumbl with the end of slaveri and is rebuilt dure the civil war and reconstruct periods."
30,30,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,"stanley kubrick peter seller georg c. scott sterl hayden keenan wynn comedy, war an insan american gener order a bomb attack on the soviet union, trigger a path to nuclear holocaust that a war room full of politician and gener frantic tri to stop."
31,31,"The Good, the Bad and the Ugly",1966,8.8,"sergio leon clint eastwood eli wallach lee van cleef aldo giuffrè adventure, western a bounti hunt scam join two men in an uneasi allianc against a third in a race to find a fortun in gold buri in a remot cemetery."
32,32,Some Like It Hot,1959,8.2,"billi wilder marilyn monro toni curti jack lemmon georg raft comedy, music, romanc after two male musician wit a mob hit, they flee the state in an all-femal band disguis as women, but further complic set in."
33,33,All Quiet on the Western Front,1930,8.1,"lewi mileston lew ayr loui wolheim john wray arnold luci drama, war a german youth eagerli enter world war i, but hi enthusiasm wane as he get a firsthand view of the horror."
34,34,The Grapes of Wrath,1940,8.1,"john ford henri fonda jane darwel john carradin charley grapewin drama an oklahoma family, driven off their farm by the poverti and hopeless of the dust bowl, join the westward migrat to california, suffer the misfortun of the homeless in the great depression."
35,35,Notorious,1946,7.9,"alfr hitchcock cari grant ingrid bergman claud rain loui calhern drama, film-noir, romanc the daughter of a convict german spi is ask by american agent to gather inform on a ring of german scientist in south america. how far will she have to go to ingrati herself with them?"
36,36,The Best Years of Our Lives,1946,8.1,"william wyler myrna loy dana andrew fredric march teresa wright drama, romance, war three world war ii veterans, two of them traumat or disabled, return home to the american midwest to discov that they and their famili have been irrepar changed."
37,37,North by Northwest,1959,8.3,"alfr hitchcock cari grant eva mari saint jame mason jessi royc landi action, adventure, mysteri a new york citi advertis execut goe on the run after be mistaken for a govern agent by a group of foreign spies, and fall for a woman whose loyalti he begin to doubt."
38,38,Sansho the Bailiff,1954,8.4,"kenji mizoguchi kinuyo tanaka yoshiaki hanayagi kyôko kagawa eitarô shindô drama in mediev japan, a compassion governor is sent into exile. hi wife and children tri to join him, but are separated, and the children grow up amid suffer and oppression."
39,39,It Happened One Night,1934,8.1,"frank capra clark gabl claudett colbert walter connolli rosco karn comedy, romanc a renegad report trail a young runaway heiress for a big stori join her on a bu head from florida to new york, and they end up stuck with each other when the bu leav them behind at one of the stops."
40,40,Brief Encounter,1945,8,"david lean celia johnson trevor howard stanley holloway joyc carey drama, romanc meet a stranger in a railway station, a woman is tempt to cheat on her husband."
41,41,Ikiru,1952,8.3,akira kurosawa takashi shimura nobuo kaneko shin'ichi himori haruo tanaka drama a bureaucrat tri to find mean in hi life after he discov he ha termin cancer.
42,42,Late Spring,1949,8.2,"yasujirô ozu chishû ryû setsuko hara yumeji tsukioka haruko sugimura drama sever peopl tri to talk 27-year-old noriko into marrying, but all she want is to keep on care for her widow father."
43,43,The Treasure of the Sierra Madre,1948,8.2,"john huston humphrey bogart walter huston tim holt bruce bennett adventure, drama, western two down-on-their-luck american search for work in 1920 mexico convinc an old prospector to help them mine for gold in the sierra madr mountains."
44,44,The Night of the Hunter,1955,8,"charl laughton robert mitchum shelley winter lillian gish jame gleason crime, drama, film-noir a self-proclaim preacher marri a gullibl widow whose young children are reluct to tell him where their real dad hid the $10,000 he'd stolen in a robbery."
45,45,8½,1963,8,federico fellini marcello mastroianni anouk aimé claudia cardinal sandra milo drama a harri movi director retreat into hi memori and fantasies.
46,46,M,1931,8.3,"fritz lang peter lorr ellen widmann ing landgut otto wernick crime, mystery, thriller when the polic in a german citi are unabl to catch a child-murderer, other crimin join in the manhunt."
47,47,The Battle of Algiers,1966,8.1,"gillo pontecorvo brahim hadjadj jean martin yacef saadi samia kerbash drama, war in the 1950s, fear and violenc escal as the peopl of algier fight for independ from the french government."
48,48,La Dolce Vita,1960,8,"federico fellini marcello mastroianni anita ekberg anouk aimé yvonn furneaux comedy, drama a seri of stori follow a week in the life of a philand tabloid journalist live in rome."
49,49,Apocalypse Now,1979,8.4,"franci ford coppola martin sheen marlon brando robert duval freder forrest drama, mystery, war a u.s. armi offic serv in vietnam is task with assassin a renegad special forc colonel who see himself as a god."
50,50,Taxi Driver,1976,8.2,"martin scorses robert de niro jodi foster cybil shepherd albert brook crime, drama a mental unstabl veteran work as a nighttim taxi driver in new york city, where the perceiv decad and sleaz fuel hi urg for violent action."
51,51,2001: A Space Odyssey,1968,8.3,"stanley kubrick keir dullea gari lockwood william sylvest daniel richter adventure, sci-fi after uncov a mysteri artifact buri beneath the lunar surface, a spacecraft is sent to jupit to find it origins: a spacecraft man by two men and the supercomput hal 9000."
52,52,The Maltese Falcon,1941,8,"john huston humphrey bogart mari astor gladi georg peter lorr crime, film-noir, mysteri san francisco privat detect sam spade take on a case that involv him with three eccentr criminals, a gorgeou liar and their quest for a priceless statuette, with the stake rise after hi partner is murdered."
53,53,Touch of Evil,1958,8,"orson well charlton heston orson well janet leigh joseph calleia crime, drama, film-noir a stark, pervers stori of murder, kidnap and polic corrupt in a mexican border town."
54,54,Intolerance,1916,7.7,"d.w. griffith lillian gish robert harron mae marsh f.a. turner drama, histori the stori of a poor young woman separ by prejudic from her husband and babi is interwoven with tale of intoler from throughout history."
55,55,One Flew Over the Cuckoo's Nest,1975,8.7,"milo forman jack nicholson louis fletcher michael berryman peter brocco drama in the fall of 1963, a korean war veteran and crimin plead insan and is admit to a mental institution, where he ralli up the scare patient against the tyrann nurse."
56,56,The Philadelphia Story,1940,7.9,"georg cukor cari grant katharin hepburn jame stewart ruth hussey comedy, romanc when a rich woman' ex-husband and a tabloid-typ report turn up just befor her plan remarriage, she begin to learn the truth about herself."
57,57,Paths of Glory,1957,8.4,"stanley kubrick kirk dougla ralph meeker adolph menjou georg macreadi drama, war after a fail attack on a german position, a gener order three soldiers, chosen at random, court-marti for cowardic and their command offic must defend them."
58,58,Bicycle Thieves,1948,8.3,"vittorio de sica lamberto maggiorani enzo staiola lianella carel elena altieri drama in post-war italy, a working-class man' bicycl is stolen, endang hi effort to find work. he and hi son set out to find it."
59,59,On the Waterfront,1954,8.1,"elia kazan marlon brando karl malden lee j. cobb rod steiger crime, drama, thriller an ex-priz fighter turn new jersey longshoreman struggl to stand up to hi corrupt union bosses, includ hi older brother, as he start to connect with the griev sister of one of the syndicate' victims."
60,60,Bride of Frankenstein,1935,7.8,"jame whale bori karloff elsa lanchest colin clive valeri hobson drama, horror, sci-fi <a href=""/name/nm0791217"">mari shelley</a> reveal the main charact of her novel survived: baron henri frankenstein, goad by an even madder scientist, build hi monster a mate."
61,61,The Circus,1928,8.1,"charl chaplin charl chaplin merna kennedi al ernest garcia harri crocker comedy, family, romanc the tramp find work and the girl of hi dream at a circus."
62,62,The Leopard,1963,7.9,"luchino visconti burt lancast alain delon claudia cardinal paolo stoppa drama, histori the princ of salina, a nobl aristocrat of impecc integrity, tri to preserv hi famili and class amid the tumultu social upheav of 1860 sicily."
63,63,Sweet Smell of Success,1957,8,"alexand mackendrick burt lancast toni curti susan harrison martin milner drama, film-noir power but uneth broadway columnist j.j. hunseck coerc unscrupul press agent sidney falco into break up hi sister' romanc with a jazz musician."
64,64,Star Wars: Episode IV - A New Hope,1977,8.6,"georg luca mark hamil harrison ford carri fisher alec guin action, adventure, fantasi luke skywalk join forc with a jedi knight, a cocki pilot, a wookie and two droid to save the galaxi from the empire' world-destroy battl station, while also attempt to rescu princess leia from the mysteri darth vader."
65,65,Duck Soup,1933,7.7,"leo mccarey groucho marx harpo marx chico marx zeppo marx comedy, music rufu t. firefli is name the dictat of bankrupt freedonia and declar war on neighbor sylvania over the love of hi wealthi backer mrs. teasdale, contend with two inept spi who can't seem to keep straight which side they'r on."
66,66,To Be or Not to Be,1942,8.1,"ernst lubitsch carol lombard jack benni robert stack felix bressart comedy, romance, war dure the german occup of poland, an act troup becom embroil in a polish soldier' effort to track down a german spy."
67,67,Persona,1966,8.1,"ingmar bergman bibi andersson liv ullmann margaretha krook gunnar björnstrand drama, thriller a nurs is put in charg of a mute actress and find that their persona are meld together."
68,68,Bringing Up Baby,1938,7.8,"howard hawk katharin hepburn cari grant charl ruggl walter catlett comedi while tri to secur a $1 million donat for hi museum, a befuddl paleontologist is pursu by a flighti and often irrit heiress and her pet leopard, baby."
69,69,The Seventh Seal,1957,8.1,"ingmar bergman max von sydow gunnar björnstrand bengt ekerot nil popp drama, fantasi a knight return to sweden after the crusad seek answer about life, death, and the exist of god as he play chess against the grim reaper dure the black plague."
70,70,The Lady Vanishes,1938,7.7,"alfr hitchcock margaret lockwood michael redgrav paul luka may whitti mystery, thriller while travel in continent europe, a rich young playgirl realiz that an elderli ladi seem to have disappear from the train."
71,71,Playtime,1967,7.8,"jacqu tati jacqu tati barbara dennek rita maiden franc rumilli comedi monsieur hulot curious wander around a high-tech paris, parallel a trip with a group of american tourists. meanwhile, a nightclub/restaur prepar it open night, but it' still under construction."
72,72,Harakiri,1962,8.6,"masaki kobayashi tatsuya nakadai akira ishihama shima iwashita tetsurô tanba action, drama, mysteri when a ronin request seppuku at a feudal lord' palac is told of the brutal suicid of anoth ronin who previous visited, he reveal how their past are intertwin - and in do so challeng the clan' integrity."
73,73,The Shop Around the Corner,1940,8,"ernst lubitsch margaret sullavan jame stewart frank morgan joseph schildkraut comedy, drama, romanc two employe at a gift shop can bare stand each other, without realiz that they are fall in love through the post as each other' anonym pen pal."
74,74,Sherlock Jr.,1924,8.2,"buster keaton buster keaton kathryn mcguir joe keaton erwin connelli action, comedy, romanc a film projectionist long to be a detective, and put hi meagr skill to work when he is frame by a rival for steal hi girlfriend' father' pocketwatch."
75,75,The Bridge on the River Kwai,1957,8.1,"david lean william holden alec guin jack hawkin sessu hayakawa adventure, drama, war british pow are forc to build a railway bridg across the river kwai for their japanes captor in occupi burma, not know that the alli forc are plan a dare commando raid through the jungl to destroy it."
76,76,Army of Shadows,1969,8.1,"jean-pierr melvil lino ventura paul meuriss jean-pierr cassel simon signoret drama, war an account of underground resist fighter in nazi-occupi france."
77,77,High and Low,1963,8.4,"akira kurosawa toshirô mifun yutaka sada tatsuya nakadai kyôko kagawa crime, drama, mysteri an execut of a yokohama shoe compani becom a victim of extort when hi chauffeur' son is kidnap by mistak and held for ransom."
78,78,Barry Lyndon,1975,8.1,"stanley kubrick ryan o'neal marisa berenson patrick mage hardi krüger adventure, drama, war an irish rogu win the heart of a rich widow and assum her dead husband' aristocrat posit in 18th-centuri england."
79,79,Fanny and Alexander,1982,8.1,"ingmar bergman bertil guve pernilla allwin kristina adolphson börje ahlstedt drama two young swedish children in the 1900 experi the mani comedi and tragedi of their live and affection theatric family, the ekdahls."
80,80,The Lady Eve,1941,7.7,"preston sturg barbara stanwyck henri fonda charl coburn eugen pallett comedy, romanc a trio of classi card shark target a social awkward breweri heir, until one of them fall in love with him."
81,81,The Searchers,1956,7.8,"john ford john wayn jeffrey hunter vera mile ward bond adventure, drama, western an american civil war veteran embark on a years-long journey to rescu hi niec from the comanch after the rest of hi brother' famili is massacr in a raid on their texa farm."
82,82,Stagecoach,1939,7.8,"john ford john wayn clair trevor andi devin john carradin adventure, drama, western a group of peopl travel on a stagecoach find their journey complic by the threat of geronimo and learn someth about each other in the process."
83,83,The General,1926,8.1,"clyde bruckman buster keaton buster keaton marion mack glen cavend jim farley action, adventure, comedi after be reject by the confeder military, not realiz it wa due to hi crucial civilian role, an engin must single-handedli recaptur hi belov locomot after it is seiz by union spi and return it through enemi lines."
