,id,Name,Year,Rating,Genre,Actors,Director,One-line
0,0,Citizen Kane,1941,8.3,"Drama, Mystery            ","['Orson Welles', 'Joseph Cotten', 'Dorothy Comingore', 'Agnes Moorehead']",Orson Welles,"Following the death of publishing tycoon Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance: 'Rosebud.'"
1,1,The Passion of Joan of Arc,1928,8.1,"Biography, Drama, History            ","['Maria Falconetti', 'Eugene Silvain', 'André Berley', 'Maurice Schutz']",Carl Theodor Dreyer,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
2,2,City Lights,1931,8.5,"Comedy, Drama, Romance            ","['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers']",Charles Chaplin,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
3,3,Metropolis,1927,8.3,"Drama, Sci-Fi            ","['Brigitte Helm', 'Alfred Abel', 'Gustav Fröhlich', 'Rudolf Klein-Rogge']",Fritz Lang,"In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working-class prophet who predicts the coming of a savior to mediate their differences."
4,4,Man with a Movie Camera,1929,8.3,Documentary            ,"['Mikhail Kaufman', 'Elizaveta Svilova']",Dziga Vertov,"A man travels around a city with a camera slung over his shoulder, documenting urban life with dazzling invention."
5,5,Sunrise,1927,8.1,"Drama, Romance            ","[""George O'Brien"", 'Janet Gaynor', 'Margaret Livingston', 'Bodil Rosing']",F.W. Murnau,"A sophisticated city woman seduces a farmer and convinces him to murder his wife and join her in the city, but he ends up rekindling his romance with his wife when he changes his mind at the last moment."
6,6,Casablanca,1942,8.5,"Drama, Romance, War            ","['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']",Michael Curtiz,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
7,7,Seven Samurai,1954,8.6,"Action, Drama            ","['Toshirô Mifune', 'Takashi Shimura', 'Keiko Tsushima', 'Yukiko Shimazaki']",Akira Kurosawa,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
8,8,The Godfather,1972,9.2,"Crime, Drama            ","['Marlon Brando', 'Al Pacino', 'James Caan', 'Diane Keaton']",Francis Ford Coppola,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.
9,9,12 Angry Men,1957,9,"Crime, Drama            ","['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam', 'John Fiedler']",Sidney Lumet,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
10,10,Vertigo,1958,8.3,"Mystery, Romance, Thriller            ","['James Stewart', 'Kim Novak', 'Barbara Bel Geddes', 'Tom Helmore']",Alfred Hitchcock,"A former San Francisco police detective juggles wrestling with his personal demons and becoming obsessed with the hauntingly beautiful woman he has been hired to trail, who may be deeply disturbed."
11,11,Battleship Potemkin,1925,7.9,"Drama, History, Thriller            ","['Aleksandr Antonov', 'Vladimir Barskiy', 'Grigoriy Aleksandrov', 'Ivan Bobrov']",Sergei Eisenstein,"In the midst of the Russian Revolution of 1905, the crew of the battleship Potemkin mutiny against the brutal, tyrannical regime of the vessel's officers. The resulting street demonstration in Odessa brings on a police massacre."
12,12,Modern Times,1936,8.5,"Comedy, Drama, Romance            ","['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford']",Charles Chaplin,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
13,13,Tokyo Story,1953,8.1,Drama            ,"['Chishû Ryû', 'Chieko Higashiyama', 'Sô Yamamura', 'Setsuko Hara']",Yasujirô Ozu,"An old couple visit their children and grandchildren in the city, but receive little attention."
14,14,Rear Window,1954,8.5,"Mystery, Thriller            ","['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter']",Alfred Hitchcock,"A photographer in a wheelchair spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
15,15,Singin' in the Rain,1952,8.3,"Comedy, Musical, Romance            ","['Gene Kelly', 'Gene Kelly', ""Donald O'Connor"", 'Debbie Reynolds', 'Jean Hagen']",Stanley Donen,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.
16,16,The Rules of the Game,1939,7.9,"Comedy, Drama            ","['Marcel Dalio', 'Nora Gregor', 'Paulette Dubost', 'Mila Parély']",Jean Renoir,"A bourgeois life in France at the onset of World War II, as the rich and their poor servants meet up at a French chateau."
17,17,Psycho,1960,8.5,"Horror, Mystery, Thriller            ","['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']",Alfred Hitchcock,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
18,18,It's a Wonderful Life,1946,8.6,"Drama, Family, Fantasy            ","['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell']",Frank Capra,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
19,19,Sunset Blvd.,1950,8.4,"Drama, Film-Noir            ","['William Holden', 'Gloria Swanson', 'Erich von Stroheim', 'Nancy Olson']",Billy Wilder,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.
20,20,Rashomon,1950,8.2,"Crime, Drama, Mystery            ","['Toshirô Mifune', 'Machiko Kyô', 'Masayuki Mori', 'Takashi Shimura']",Akira Kurosawa,"The rape of a bride and the murder of her samurai husband are recalled from the perspectives of a bandit, the bride, the samurai's ghost and a woodcutter."
21,21,Lawrence of Arabia,1962,8.3,"Adventure, Biography, Drama            ","[""Peter O'Toole"", 'Alec Guinness', 'Anthony Quinn', 'Jack Hawkins']",David Lean,"The story of <a href=""/name/nm0493042"">T.E. Lawrence</a>, the English officer who successfully united and led the diverse, often warring, Arab tribes during World War I in order to fight the Turks."
22,22,Double Indemnity,1944,8.3,"Crime, Drama, Film-Noir            ","['Fred MacMurray', 'Barbara Stanwyck', 'Edward G. Robinson', 'Byron Barr']",Billy Wilder,"A Los Angeles insurance representative lets an alluring housewife seduce him into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, an insurance investigator."
23,23,The Godfather Part II,1974,9,"Crime, Drama            ","['Al Pacino', 'Robert De Niro', 'Robert Duvall', 'Diane Keaton']",Francis Ford Coppola,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
24,24,The Third Man,1949,8.1,"Film-Noir, Mystery, Thriller            ","['Orson Welles', 'Joseph Cotten', 'Alida Valli', 'Trevor Howard']",Carol Reed,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime."
25,25,All About Eve,1950,8.2,Drama            ,"['Bette Davis', 'Anne Baxter', 'George Sanders', 'Celeste Holm']",Joseph L. Mankiewicz,A seemingly timid but secretly ruthless ingénue insinuates herself into the lives of an aging Broadway star and her circle of theater friends.
26,26,The Apartment,1960,8.3,"Comedy, Drama, Romance            ","['Jack Lemmon', 'Shirley MacLaine', 'Fred MacMurray', 'Ray Walston']",Billy Wilder,"A Manhattan insurance clerk tries to rise in his company by letting its executives use his apartment for trysts, but complications and a romance of his own ensue."
27,27,Children of Paradise,1945,8.3,"Drama, Romance            ","['Arletty', 'Jean-Louis Barrault', 'Pierre Brasseur', 'Pierre Renoir']",Marcel Carné,The theatrical life of a beautiful courtesan in 1830s Paris and the four men who love her.
28,28,The Wizard of Oz,1939,8.1,"Adventure, Family, Fantasy            ","['King Vidor', 'Judy Garland', 'Frank Morgan', 'Ray Bolger', 'Bert Lahr']",Victor Fleming,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can return her to her home and fulfill the others' wishes."
29,29,Gone with the Wind,1939,8.2,"Drama, Romance, War            ","['George Cukor', 'Sam Wood', 'Clark Gable', 'Vivien Leigh', 'Thomas Mitchell', ""Barbara O'Neil""]",Victor Fleming,A sheltered and manipulative Southern belle and a roguish profiteer face off in a turbulent romance as the society around them crumbles with the end of slavery and is rebuilt during the Civil War and Reconstruction periods.
30,30,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,"Comedy, War            ","['Peter Sellers', 'George C. Scott', 'Sterling Hayden', 'Keenan Wynn']",Stanley Kubrick,"An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop."
31,31,"The Good, the Bad and the Ugly",1966,8.8,"Adventure, Western            ","['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']",Sergio Leone,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
32,32,Some Like It Hot,1959,8.2,"Comedy, Music, Romance            ","['Marilyn Monroe', 'Tony Curtis', 'Jack Lemmon', 'George Raft']",Billy Wilder,"After two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in."
33,33,All Quiet on the Western Front,1930,8.1,"Drama, War            ","['Lew Ayres', 'Louis Wolheim', 'John Wray', 'Arnold Lucy']",Lewis Milestone,"A German youth eagerly enters World War I, but his enthusiasm wanes as he gets a firsthand view of the horror."
34,34,The Grapes of Wrath,1940,8.1,Drama            ,"['Henry Fonda', 'Jane Darwell', 'John Carradine', 'Charley Grapewin']",John Ford,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great Depression."
35,35,Notorious,1946,7.9,"Drama, Film-Noir, Romance            ","['Cary Grant', 'Ingrid Bergman', 'Claude Rains', 'Louis Calhern']",Alfred Hitchcock,The daughter of a convicted German spy is asked by American agents to gather information on a ring of German scientists in South America. How far will she have to go to ingratiate herself with them?
36,36,The Best Years of Our Lives,1946,8.1,"Drama, Romance, War            ","['Myrna Loy', 'Dana Andrews', 'Fredric March', 'Teresa Wright']",William Wyler,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed."
37,37,North by Northwest,1959,8.3,"Action, Adventure, Mystery            ","['Cary Grant', 'Eva Marie Saint', 'James Mason', 'Jessie Royce Landis']",Alfred Hitchcock,"A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies, and falls for a woman whose loyalties he begins to doubt."
38,38,Sansho the Bailiff,1954,8.4,Drama            ,"['Kinuyo Tanaka', 'Yoshiaki Hanayagi', 'Kyôko Kagawa', 'Eitarô Shindô']",Kenji Mizoguchi,"In medieval Japan, a compassionate governor is sent into exile. His wife and children try to join him, but are separated, and the children grow up amid suffering and oppression."
39,39,It Happened One Night,1934,8.1,"Comedy, Romance            ","['Clark Gable', 'Claudette Colbert', 'Walter Connolly', 'Roscoe Karns']",Frank Capra,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behind at one of the stops."
40,40,Brief Encounter,1945,8,"Drama, Romance            ","['Celia Johnson', 'Trevor Howard', 'Stanley Holloway', 'Joyce Carey']",David Lean,"Meeting a stranger in a railway station, a woman is tempted to cheat on her husband."
41,41,Ikiru,1952,8.3,Drama            ,"['Takashi Shimura', 'Nobuo Kaneko', ""Shin'ichi Himori"", 'Haruo Tanaka']",Akira Kurosawa,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
42,42,Late Spring,1949,8.2,Drama            ,"['Chishû Ryû', 'Setsuko Hara', 'Yumeji Tsukioka', 'Haruko Sugimura']",Yasujirô Ozu,"Several people try to talk 27-year-old Noriko into marrying, but all she wants is to keep on caring for her widowed father."
43,43,The Treasure of the Sierra Madre,1948,8.2,"Adventure, Drama, Western            ","['Humphrey Bogart', 'Walter Huston', 'Tim Holt', 'Bruce Bennett']",John Huston,Two down-on-their-luck Americans searching for work in 1920s Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.
44,44,The Night of the Hunter,1955,8,"Crime, Drama, Film-Noir            ","['Robert Mitchum', 'Shelley Winters', 'Lillian Gish', 'James Gleason']",Charles Laughton,"A self-proclaimed preacher marries a gullible widow whose young children are reluctant to tell him where their real dad hid the $10,000 he'd stolen in a robbery."
45,45,8½,1963,8,Drama            ,"['Marcello Mastroianni', 'Anouk Aimée', 'Claudia Cardinale', 'Sandra Milo']",Federico Fellini,A harried movie director retreats into his memories and fantasies.
46,46,M,1931,8.3,"Crime, Mystery, Thriller            ","['Peter Lorre', 'Ellen Widmann', 'Inge Landgut', 'Otto Wernicke']",Fritz Lang,"When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt."
47,47,The Battle of Algiers,1966,8.1,"Drama, War            ","['Brahim Hadjadj', 'Jean Martin', 'Yacef Saadi', 'Samia Kerbash']",Gillo Pontecorvo,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government."
48,48,La Dolce Vita,1960,8,"Comedy, Drama            ","['Marcello Mastroianni', 'Anita Ekberg', 'Anouk Aimée', 'Yvonne Furneaux']",Federico Fellini,A series of stories following a week in the life of a philandering tabloid journalist living in Rome.
49,49,Apocalypse Now,1979,8.4,"Drama, Mystery, War            ","['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest']",Francis Ford Coppola,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
50,50,Taxi Driver,1976,8.2,"Crime, Drama            ","['Robert De Niro', 'Jodie Foster', 'Cybill Shepherd', 'Albert Brooks']",Martin Scorsese,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action."
51,51,2001: A Space Odyssey,1968,8.3,"Adventure, Sci-Fi            ","['Keir Dullea', 'Gary Lockwood', 'William Sylvester', 'Daniel Richter']",Stanley Kubrick,"After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins: a spacecraft manned by two men and the supercomputer HAL 9000."
